INDEX;UUID;LINE;NAME;LATITUDE;LONGITUDE
2500;62182295-a2c2-4829-bd4b-ad7d28fa8398;M9;La Muette;48,85804606;2,274154631
2510;7a08b690-4780-4b6d-b7ef-6f44ee94ed9a;M9;Rue de la Pompe;48,86397445;2,278112558
2520;00419aee-1c76-4f1e-bda0-e0e3eac65898;M9;Trocadéro;48,86306502;2,286243171
2530;ae753c7a-8e67-409a-97fc-0a2ab4a66b63;M9;Iéna;48,86479407;2,294162018
2540;ef8e5821-f769-443a-a146-345e709cf109;M9;Alma - Marceau;48,86476685;2,300991004
2550;833f96c2-0da1-47b2-a6f6-9c1e50dcc47d;M9;Franklin D. Roosevelt;48,86869985;2,309505157
2560;e841c0c0-7b2a-4da9-9779-06f0c99a7b07;M9;Saint-Philippe-du-Roule;48,87242238;2,310038345
2570;47bf9b32-5909-4fd3-9608-5ee76110a305;M9;Miromesnil;48,87370953;2,314606322
2580;9acb92c2-faac-4d7d-a10d-2c54b3cf3cc9;M9;Havre - Caumartin;48,87371341;2,32769541
2590;63537095-223a-42b6-8a26-1e2ad70aa283;M9;Saint-Augustin;48,87455838;2,321361928
